Capitales de provincia	Tipo de dato	Periodo	Total
Total capitales de provincia	Personas	2020	15.174.588
Total capitales de provincia	Personas	2019	15.007.354
Total capitales de provincia	Personas	2018	14.898.437
Total capitales de provincia	Personas	2017	14.833.628
Total capitales de provincia	Personas	2016	14.805.668
Total capitales de provincia	Personas	2015	14.791.809
Total capitales de provincia	Personas	2014	14.847.271
Total capitales de provincia	Personas	2013	14.959.668
Total capitales de provincia	Personas	2012	15.029.101
Total capitales de provincia	Personas	2011	15.064.533
Total capitales de provincia	Personas	2010	15.092.167
Total capitales de provincia	Personas	2009	15.058.625
Total capitales de provincia	Personas	2008	14.932.206
Total capitales de provincia	Personas	2007	14.704.665
Total capitales de provincia	Personas	2006	14.695.472
Total capitales de provincia	Personas	2005	14.645.673
Total capitales de provincia	Personas	2004	14.458.807
Total capitales de provincia	Personas	2003	14.405.636
Total capitales de provincia	Personas	2002	14.122.538
Total capitales de provincia	Personas	2001	13.926.117
Total capitales de provincia	Personas	2000	13.764.841
Total capitales de provincia	Personas	1999	13.738.893
Total capitales de provincia	Personas	1998	13.689.647
Total capitales de provincia	Variación absoluta	2020	167.234
Total capitales de provincia	Variación absoluta	2019	108.917
Total capitales de provincia	Variación absoluta	2018	64.809
Total capitales de provincia	Variación absoluta	2017	27.960
Total capitales de provincia	Variación absoluta	2016	13.859
Total capitales de provincia	Variación absoluta	2015	-55.462
Total capitales de provincia	Variación absoluta	2014	-112.397
Total capitales de provincia	Variación absoluta	2013	-69.433
Total capitales de provincia	Variación absoluta	2012	-35.432
Total capitales de provincia	Variación absoluta	2011	-27.634
Total capitales de provincia	Variación absoluta	2010	33.542
Total capitales de provincia	Variación absoluta	2009	126.419
Total capitales de provincia	Variación absoluta	2008	227.541
Total capitales de provincia	Variación absoluta	2007	9.193
Total capitales de provincia	Variación absoluta	2006	49.799
Total capitales de provincia	Variación absoluta	2005	186.866
Total capitales de provincia	Variación absoluta	2004	53.171
Total capitales de provincia	Variación absoluta	2003	283.098
Total capitales de provincia	Variación absoluta	2002	196.421
Total capitales de provincia	Variación absoluta	2001	161.276
Total capitales de provincia	Variación absoluta	2000	25.948
Total capitales de provincia	Variación absoluta	1999	49.246
Total capitales de provincia	Variación absoluta	1998	35.192
Total capitales de provincia	Variación relativa	2020	1,11
Total capitales de provincia	Variación relativa	2019	0,73
Total capitales de provincia	Variación relativa	2018	0,44
Total capitales de provincia	Variación relativa	2017	0,19
Total capitales de provincia	Variación relativa	2016	0,09
Total capitales de provincia	Variación relativa	2015	-0,37
Total capitales de provincia	Variación relativa	2014	-0,75
Total capitales de provincia	Variación relativa	2013	-0,46
Total capitales de provincia	Variación relativa	2012	-0,24
Total capitales de provincia	Variación relativa	2011	-0,18
Total capitales de provincia	Variación relativa	2010	0,22
Total capitales de provincia	Variación relativa	2009	0,85
Total capitales de provincia	Variación relativa	2008	1,55
Total capitales de provincia	Variación relativa	2007	0,06
